Alignment  Sheet,Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Enbridge Environmental Inspector Observation(s) in 2012,TERA Observation(s)  in 2012,"Repairs to Date  (2010, 2011, 2012)",Status,Recommended  Measure(s) to Resolve  Issue(s) and Schedule,VEC,GIS,Topic
71,NW 3-9-24,1001.3,4063,Vegetation - Rare Plants,No plants observed.,No plants observed.,--,No plants observed. No further monitoring is recommended.,--,Resolved,None.,,,
71,SW 32-8-23,1008.4 to 1009.2,4073,Vegetation – Establishment,--,--,Bare areas noted.,--,Reseeded in June 2012.,Unresolved,"Reseed, if warranted, and monitor in 2013.",,,
71,SE 32-8-23,1009.2 to 1010.0,4074,Vegetation – Establishment,--,--,Bare areas noted.,--,Reseeded in June 2012.,Unresolved,"Reseed, if warranted, and monitor in 2013.",,,
71,SW 33-8-23,1010.0 to 1010.8,4075,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance. Very sandy soils.,Reseeded fall 2011 and June 2012.,Unresolved,"Reseed, if warranted, and monitor in 2013.",,,
71,SE 33-8-23,1010.8 to 1011.5,4075.01,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Bare areas noted.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance. Very sandy soils.,Reseeded fall 2011 and June 2012.,Unresolved,"Reseed, if warranted, and monitor in 2013.",,,
71,NE 28-8-23,1011.5,Crown,Vegetation - Rare Plants  sand bluestem (S2),No plants found on construction right-of-way. Plants found off construction right-of-way.,No plants observed (sand bluestem).,--,"A population of 28 stalks was observed on the pipeline right-of-way. Approximatly 92 stalks in four locations were observed off right-of-way, to the south.  Noxious weed leafy spurge poses a potential threat both on and off the right-of-way. Since this weed may pose a threat to off right-of-way populations it is recommended that this weed be controlled.",--,Resolved,None.,,,
71,NE 28-8-23,1011.5,Crown,Vegetation - Weeds,--,--,--,Noxious weed leafy spurge poses a potential threat to a rare plant population both on and off the right-of-way.,--,Unresolved,Spot spray for weeds using a broadleaf specific chemical and monitor in 2013.,,,
72,NW 27-8-23,1011.5 to 1012.4,4076,Vegetation – Establishment,--,--,Bare areas noted,--,--,Unresolved,Seed and monitor in 2013.,,,
72,NE 22-8-22,1022.5 to 1023.4,4090,Vegetation - Weeds,"Moderate density of false ragweed, lamb’s-quarters, field dock, flixweed and foxtail barley on construction right-of-way observed on construction right-of-way during ground reconnaissance.",Unable to survey due to wet conditions during ground reconnaissance.,No weed issues observed. A few Canada thistle still evident; most are dead.,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed August 2012.,Unresolved,Monitor in 2013.,,,
72,NE 22-8-22,1022.5 to 1023.4,4090,Soils - Subsidence,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,--,No subsidence issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
72,NW 23-8-22 to SW 23-8-22,1023.4 to 1024.2,4091  4092,Soils - Subsidence,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,--,No subsidence issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
