Alignment  Sheet,Legal Location,Approximate KP,Tract No.,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Repairs to Date  (2010 and 2011),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
72,SW 24-8-22,1025.1 to 1025.9,4094,Soils - Drainage,--,Poor drainage observed on construction right-of-way by landowner.,Drainage repaired in fall 2011.,Unresolved,Monitor in 2012.,,,
72,SW 24-8-22,1025.1 to 1025.9,4094,Soils - Subsidence,Issue reported by construction contractor.,Unable to fully assess due to portions of the construction right-of-way being flooded at time of survey.,Subsidence repaired in 2010.,Unresolved,Monitor in 2012.,,,
72,SW 24-8-22,1025.9,4094,Vegetation - Weeds,"Moderate density of lamb’s-quarters, prostrate pigweed, spear-leaved goosefoot and foxtail barley on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
73,SE 24-8-22,1025.9 to 1026.7,4095,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
73,SE 24-8-22,1025.9 to 1026.7,4095,Vegetation - Weeds,"Moderate density of redroot pigweed, stinkweed, spear-leaved goosefoot and green foxtail observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
73,S1/2 19-8-21,1026.75 to 1027.7,4095.01,Vegetation - Weeds,"Moderate density of creeping thistle, false ragweed, Russian thistle, green smartweed, kochia, redroot pigweed and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",Unable to survey due to wet conditions during ground reconnaissance.,--,Unresolved,Monitor in 2012.,,,
73,S1/2 19-8-21,1026.75 to 1027.7,4095.01,Soils - Topsoil Loss,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,--,Unresolved,Monitor in 2012.,,,
73,NE 18-8-21,1027.7 to 1028.4,4096,Soils - Drainage,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,Drainage repaired in 2010.,Unresolved,Monitor in 2012.,,,
73,NW 17-8-21,1028.4 to 1029.3,4097,Soils - Erosion,Fallow crop land not able to be assessed. Potential contouring issues observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
73,NW 17-8-21,1028.4 to 1029.3,4097,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
73,NW 16-8-21,1030.7 to 1031,4098,Vegetation - Weeds,"High density of false ragweed, field dock, spear-leaved goosefoot, common peppergrass and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.","High density of foxtail barley, narrow-leaved hawk’s-beard, and creeping thistle observed along construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,,
73,NE 16-8-21,1031.0 to 1031.7,4098.01 4098.02,Vegetation - Establishment,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Reseeded in 2010.,Resolved,None.,,,
73,NE 16-8-21,1031.0 to 1031.7,4098.01 4098.02,Vegetation - Weeds,"High density of lamb’s-quarters, spear-leaved goosefoot, dandelion, perennial sow-thistle, green smartweed and barnyard grass observed on construction right-of-way during ground reconnaissance.","High density of narrow-leaved hawk’s-beard, foxtail barley, field dock, and creeping thistle observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,,
73,SE 16-8-21,1031.7,4099,Vegetation - Weeds,"High density of lamb’s-quarters, spear-leaved goosefoot, dandelion, perennial sow-thistle, green smartweed and barnyard grass on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
73,SW 15-8-21,1031.8 and 1032.4,4100,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
73,SW 15-8-21,1031.8 to 1032.6,4100,Soils - Compaction,--,Landowner expressed concern about compaction in April 2011 requested paratilling. Moderate compaction observed on construction right-of-way during ground reconnaissance.,Compaction repaired in 2010.,Unresolved,"Alleviate compaction, if warranted, and monitor in 2012.",,,
73,SE 15-8-21,1032.6 to 1033.5,4101,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
73,SE 15-8-21,1033.0 to 1033.2,4101,Vegetation – Crop Growth,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Monitor crop growth in 2012.,,,
73,SE 15-8-21,1033.0 to 1033.2,4101,Soils - Compaction,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,--,Unresolved,"Alleviate compaction, if warranted, and monitor in 2012.",,,
73,SE 15-8-21,1033.0 to 1033.2,4101,Soils - Drainage,--,Poor drainage observed on construction right-of-way by landowner.,--,Unresolved,Repair drainage and monitor in 2012.,,,
73,SW 14-8-21,1033.5 and 1034.2 to 1034.3,4102,Soils - Topsoil Loss,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
73,SE 14-8-21,1034.4 to 1035.2,4103,Vegetation - Weeds,Fallow crop land not able to be assessed. Potential contouring issues observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
73,SE 14-8-21,1034.35,4103,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
73,SW 13-8-21 to  NE 12-8-21,1035.2 to 1036.8,4104.1 4104  4105,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,,
73,NW 7-8-20,1036.85,4106,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
73,NE 7-8-20,1037.7 to 1038.6,4107,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
73,NE 7-8-20,1037.7 to 1038.6,4107,Soils - Compaction,--,Moderate compaction observed on construction right-of-way by landowner.,--,Unresolved,"Alleviate compaction, if warranted, and monitor in 2012.",,,
73,NW 8-8-20 to,1038.6 to 1039.4,4108,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
73,NE 8-8-20,1039.4 to 1039.7,4109,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
73,SE 8-8-20,1039.7 to 1040.3,4110,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,,
73,SE 8-8-20,1039.7 to 1040.3,4110,Vegetation - Weeds,--,"Moderate density of creeping thistle, false ragweed and annual sow-thistle observed on construction right-of-way during ground reconnaissance.",Weeds mowed in summer 2011.,Unresolved,Monitor in 2012.,,,
73,SW 9-8-20,"1040.7, 1040.8 and 1040.9",4111,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
74,SE 9-8-20,1041.1 to 1041.9,4112,Landscape - Coarse Fragments,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Course fragments repaired in 2010.,Resolved,None.,,,
74,SW 10-8-20,1042.3,4113,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
74,NE 3-8-20,1043.5,4114.99,Vegetation - Weeds,"Moderate density of creeping thistle, redroot pigweed, shepherd’s-purse, lamb’s-quarters and perennial sow-thistle on construction right-of-way. Weeds are concentrated to road access.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
74,NW 2-8-20,1043.6 to 1044.4,4115,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
74,NE 2-8-20,1045.1 to 1045.3,4116,Vegetation - Weeds,"Moderate density of kochia, redroot pigweed, white cockle, creeping thistle and wild oats on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
74,NE 2-8-20,1045.3,4116,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
74,NE 1-8-20,1046.1 to 1046.9,4118,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,,
74,NW 6-8-19,1047.0,4119,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
74,NW 6-8-19,1047.4,4119,Soils - Admixing,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Admixing repaired in 2010.,Resolved,None.,,,
74,SW 5-8-19,1048.7,4122,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
