Alignment  Sheet,Legal Location,Approximate KP,Tract No.,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Repairs to Date  (2010 and 2011),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
76,SW 23-7-17,1074.1 to  W 0.4,4155,Vegetation - Weeds,"Moderate density of redroot pigweed, leafy spurge, false ragweed, stinkweed, kochia, lamb’s-quarters, creeping thistle, green foxtail and Russian thistle on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
76,SW 23-7-17,1074.1,4155,Soils - Water Erosion Water Quality and Quantity - Field Drain,Silt fencing damaged on construction right-of-way. No alteration of drainage patterns observed on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
76,SW 23-7-17,"1074.0, W 0.0 and W 0.3",4155,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,WPM,
76,NW 14-7-17,W 1.0,4155.01,Vegetation - Establishment,Poor vegetation establishment of desired wetland species observed on construction right-of-way within wetland crossing during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
76,NW 14-7-17,W 1.0,4155.01,Vegetation - Weeds,"Moderate density of common knotweed, foxtail barley, Russian thistle, perennial sow-thistle, lamb’s-quarters, kochia, field dock observed on construction right-of-way during ground reconnaissance.","Moderate density of foxtail barley, creeping thistle, perennial sow-thistle and wild oats observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,WPM,
76,NW 14-7-17,W 0.35 and W 0.9,4155.01,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,WPM,
76,NE 14-7-17,W 2.0,4155.03,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,WPM,
76,NE 13-7-17,W 2.8 to W 3.6,4157,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,WPM,
76,NW 18-7-16,W 3.6 to W 4.4,4158,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,WPM,
76,NW 18-7-16,W 4.1,4158 4158.01,SSoils - Water Erosion Fish and Fish Habitat pring Brook,Severe cattle impacts to west bank of crossing.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
76,NW 18-7-16,W 4.1,4158 4158.01,SVegetation – Weeds pring Brook,"Moderate density of false ragweed, creeping thistle, field dock spear-leaved goosefoot and stinkweed observed on banks on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
76,NE 18-7-16,W 5.1,4159,USoils - Water Erosion nnamed Drainage,Poor vegetation establishment within drainage on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,Silt fence removed in summer 2011.,Resolved,None.,,WPM,
76,NW 16-7-16,W 6.9 to W 7.2,4162,Soils - Erosion,Construction right-of-way does not appear to have been seeded.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
